Course date,Year,Quarter,Member,Course code,Course ID,EventbriteID,Status,Registered,Attended,Delivery,Training days,Capacity,Course Type,Day2,Tool
19/10/2016,2016,4,USYD,PYTHON101,27921781801_USYD_PYTHON101,27921781801,Processed,18,15,InPerson,1,,,,Python
25/10/2016,2016,4,UON,RDMT001,28171817665_UON_RDMT001,28171817665,Processed,11,5,InPerson,0.5,,,,RDMT
26/10/2016,2016,4,USYD,REFINE101,27921868059_USYD_REFINE101,27921868059,Processed,8,0,InPerson,0.5,,,,Open Refine
26/10/2016,2016,4,USYD,GIT101,27921858029_USYD_GIT101,27921858029,Processed,4,0,InPerson,0.5,,,,Git
27/10/2016,2016,4,ACU,EXCEL101,27767128228_ACU_EXCEL101,27767128228,Processed,10,6,InPerson,1,,,,Excel
28/10/2016,2016,4,ACU,GFT101,27767181387_ACU_GFT101,27767181387,Processed,4,4,InPerson,0.5,,,,Google Fusion Tables
31/10/2016,2016,4,ACU,UNIX101,27767203453_ACU_UNIX101,27767203453,Processed,6,5,InPerson,0.5,,,,Unix
1/11/2016,2016,4,ACU,REGEX201,27767273663_ACU_REGEX201,27767273663,Processed,2,0,InPerson,0.5,,,,Regular Expressions
1/11/2016,2016,4,ACU,REGEX101,27767261627_ACU_REGEX101,27767261627,Processed,2,0,InPerson,0.5,,,,Regular Expressions
8/11/2016,2016,4,UTS,EXCEL101,25371085600_UTS_EXCEL101,25371085600,Processed,26,22,InPerson,1,,,,Excel
9/11/2016,2016,4,UTS,R101,28280354301_UTS_R101,28280354301,Processed,27,24,InPerson,1,,,,R
10/11/2016,2016,4,UTS,REFINE101,25371147786_UTS_REFINE101,25371147786,Processed,12,8,InPerson,0.5,,,,Open Refine
10/11/2016,2016,4,UTS,GFT101,25371125720_UTS_GFT101,25371125720,Processed,15,6,InPerson,0.5,,,,Google Fusion Tables
15/11/2016,2016,4,UTS,GIT101,28279047392_UTS_GIT101,28279047392,Processed,9,5,InPerson,0.5,,,,Git
15/11/2016,2016,4,UTS,UNIX101,28278634156_UTS_UNIX101,28278634156,Processed,13,10,InPerson,0.5,,,,Unix
16/11/2016,2016,4,UTS,PYTHON101,28278530847_UTS_PYTHON101,28278530847,Processed,25,21,InPerson,1,,,,Python
16/11/2016,2016,4,USYD,UNIX101,28445070973_USYD_UNIX101,28445070973,Processed,9,4,InPerson,0.5,,,,Unix
17/11/2016,2016,4,WSU,UNIX101,29320149356_WSU_UNIX101,29320149356,Processed,17,12,InPerson,0.5,,,,Unix
21/11/2016,2016,4,UNSW,R101,,,Processed,,,InPerson,1,,,,R
23/11/2016,2016,4,UNE,REGEX101,29034259251_UNE_REGEX101,29034259251,Processed,8,5,InPerson,0.5,,,,Regular Expressions
23/11/2016,2016,4,USYD,EXCEL101,28445181303_USYD_EXCEL101,28445181303,Processed,18,13,InPerson,1,,,,Excel
24/11/2016,2016,4,UNE,GFT101,29034296362_UNE_GFT101,29034296362,Processed,8,6,InPerson,0.5,,,,Google Fusion Tables
24/11/2016,2016,4,UTS,R101,28849964019_UTS_R101,28849964019,Processed,27,21,InPerson,1,,,,R
30/11/2016,2016,4,USYD,PYTHON101,28445189327_USYD_PYTHON101,28445189327,Processed,16,10,InPerson,1,,,,Python
1/12/2016,2016,4,UNE,EXCEL101,29034793850_UNE_EXCEL101,29034793850,Processed,12,8,InPerson,1,,,,Excel
5/12/2016,2016,4,UON,REGEX101,26438450116_UON_REGEX101,26438450116,Processed,28,21,InPerson,0.5,,,,Regular Expressions
5/12/2016,2016,4,LTU,SC101,,,Processed,,,InPerson,2,,,,Software Carpentry
6/12/2016,2016,4,UNSW,SC101,28748806454_UNSW_SC101,28748806454,Processed,32,29,InPerson,2,,,,Software Carpentry
6/12/2016,2016,4,UON,EXCEL101,26438497257_UON_EXCEL101,26438497257,Processed,28,22,InPerson,1,,,,Excel
7/12/2016,2016,4,UON,GFT101,26438845298_UON_GFT101,26438845298,Processed,25,12,InPerson,0.5,,,,Google Fusion Tables
7/12/2016,2016,4,UON,REFINE101,26438723935_UON_REFINE101,26438723935,Processed,21,12,InPerson,0.5,,,,Open Refine
12/12/2016,2016,4,LTU,EXCEL101,,,Processed,,,InPerson,1,,,,Excel
14/12/2016,2016,4,LTU,Introduction to the Nectar Cloud,,,Processed,,,InPerson,0.5,,,,Nectar
15/12/2016,2016,4,USYD,PYTHON101,29871958833_USYD_PYTHON101,29871958833,Processed,14,13,InPerson,1,,,,Python
16/12/2016,2016,4,LTU,REGEX101,,,Processed,,,InPerson,0.5,,,,Regular Expressions
1/01/2016,2016,,CSU,,,,Processed,,,InPerson,1,,,,
1/01/2016,2016,,CSU,,,,Processed,,,InPerson,1,,,,
1/01/2016,2016,,WSU,,,,Processed,,,InPerson,1,,,,
1/01/2016,2016,,LTU,,,,Processed,,,InPerson,1,,,,
1/01/2016,2016,,LTU,,,,Processed,,,InPerson,1,,,,
23/01/2017,2017,1,UON,RDMT001,31078598926_UON_RDMT001,31078598926,Processed,19,18,InPerson,0.5,,,,RDMT
24/01/2017,2017,1,UON,EXCEL101,31078605947_UON_EXCEL101,31078605947,Processed,14,12,InPerson,1,,,,Excel
25/01/2017,2017,1,UON,REGEX101,31078615977_UON_REGEX101,31078615977,Processed,9,6,InPerson,0.5,,,,Regular Expressions
30/01/2017,2017,1,Deakin,REFINE101,,,Processed,,,InPerson,0.5,,,,Open Refine
30/01/2017,2017,1,Deakin,GFT101,,,Processed,,,InPerson,0.5,,,,Google Fusion Tables
31/01/2017,2017,1,WSU,EXCEL101,31018004687_WSU_EXCEL101,31018004687,Processed,13,10,InPerson,1,,,,Excel
31/01/2017,2017,1,Deakin,R101,,,Processed,,,InPerson,1,,,,R
1/02/2017,2017,1,WSU,EXCEL101,31018011708_WSU_EXCEL101,31018011708,Processed,11,6,InPerson,1,,,,Excel
8/02/2017,2017,1,UNE,PYTHON101,31047990375_UNE_PYTHON101,31047990375,Processed,10,8,InPerson,1,,,,Python
8/02/2017,2017,1,UON,SC101,31085957937_UON_UNIX101,31085957937,Processed,25,20,InPerson,2,,,,Software Carpentry
8/02/2017,2017,1,WSU,EXCEL101,31018014717_WSU_EXCEL101,31018014717,Processed,13,9,InPerson,1,,,,Excel
9/02/2017,2017,1,LTU,EXCEL101,,,Processed,,,InPerson,1,,,,Excel
10/02/2017,2017,1,UON,HPC201,31086013102_UON_HPC201,31086013102,Processed,17,10,InPerson,1,,,,HPC
14/02/2017,2017,1,LTU,EXCEL101,,,Processed,,,InPerson,1,,,,Excel
16/02/2017,2017,1,ACU,PYTHON101,31079651073_ACU_PYTHON101,31079651073,Processed,20,16,InPerson,1,,,,Python
20/02/2017,2017,1,UC,EXCEL101,31623341265_UC_EXCEL101,31623341265,Processed,9,6,InPerson,1,,,,Excel
22/02/2017,2017,1,USYD,UNIX101,31278317289_USYD_UNIX101,31278317289,Processed,18,18,InPerson,0.5,,,,Unix
22/02/2017,2017,1,UTS,EXCEL101,,,Processed,,,InPerson,1,,,,Excel
27/02/2017,2017,1,USYD,PYTHON101,31434449284_USYD_PYTHON101,31434449284,Processed,16,13,InPerson,1,,,,Python
28/02/2017,2017,1,UC,SQL101,31623481685_UC_SQL101,31623481685,Processed,9,9,InPerson,0.5,,,,SQL
2/03/2017,2017,1,Deakin,UNIX101,,,Processed,17,7,InPerson,0.5,,,,Unix
7/03/2017,2017,1,UTS,UNIX101,31465734860_UTS_UNIX101,31465734860,Processed,22,14,InPerson,0.5,,,,Unix
8/03/2017,2017,1,UNE,R101,31048021468_UNE_R101,31048021468,Processed,16,11,InPerson,1,,,,R
9/03/2017,2017,1,UTS,R101,31467735845_UTS_R101,31467735845,Processed,30,19,InPerson,1,,,,R
10/03/2017,2017,1,USYD,MATLAB101,31951472715_USYD_MATLAB101,31951472715,Processed,15,13,InPerson,1,,,,MATLAB
10/03/2017,2017,1,UTS,EXCEL101,31589741768_UTS_EXCEL101,31589741768,Processed,28,15,InPerson,1,,,,Excel
13/03/2017,2017,1,UON,SQL101,31108376993_UON_SQL101,31108376993,Processed,10,6,InPerson,0.5,,,,SQL
16/03/2017,2017,1,UC,UNIX101,31623553901_UC_UNIX101,31623553901,Processed,9,5,InPerson,0.5,,,,Unix
16/03/2017,2017,1,LTU,UNIX101,,,Processed,,,InPerson,0.5,,,,Unix
17/03/2017,2017,1,USYD,R101,31951481742_USYD_R101,31951481742,Processed,13,10,InPerson,1,,,,R
17/03/2017,2017,1,LTU,SQL101,,,Processed,,,InPerson,0.5,,,,SQL
20/03/2017,2017,1,UC,EXCEL101,32143386735_UC_EXCEL101,32143386735,Processed,8,3,InPerson,1,,,,Excel
24/03/2017,2017,1,USYD,EXCEL101,31951612132_USYD_EXCEL101,31951612132,Processed,13,8,InPerson,1,,,,Excel
24/03/2017,2017,1,LTU,MATLAB101,,,Processed,,,InPerson,1,,,,MATLAB
27/03/2017,2017,1,UC,PYTHON101,31623620099_UC_PYTHON101,31623620099,Processed,10,5,InPerson,1,,,,Python
28/03/2017,2017,1,UNSW,EXCEL101,32808717758_UNSW_EXCEL101,32808717758,Processed,33,29,InPerson,1,,,,Excel
28/03/2017,2017,1,WSU,RDMT001,31018037786_WSU_RDMT001,31018037786,Processed,9,5,InPerson,0.5,,,,RDMT
29/03/2017,2017,1,UNE,SQL101,31048035510_UNE_SQL101,31048035510,Processed,13,7,InPerson,0.5,,,,SQL
31/03/2017,2017,1,LTU,GIT101,,,Processed,,,InPerson,0.5,,,,Git
4/04/2017,2017,2,UNSW,RDMT001,32808727788_UNSW_RDMT001,32808727788,Processed,29,25,InPerson,0.5,,,,RDMT
4/04/2017,2017,2,UNSW,SQL101,32808735812_UNSW_SQL101,32808735812,Processed,29,27,InPerson,0.5,,,,SQL
4/04/2017,2017,2,USYD,REFINE101,31951630186_USYD_REFINE101,31951630186,Processed,10,5,InPerson,0.5,,,,Open Refine
4/04/2017,2017,2,USYD,REGEX101,31951627177_USYD_REGEX101,31951627177,Processed,14,7,InPerson,0.5,,,,Regular Expressions
6/04/2017,2017,2,LTU,GFT101,,,Processed,,,InPerson,0.5,,,,Google Fusion Tables
12/04/2017,2017,2,UTS,REDCAP101,,,Processed,,,InPerson,0.5,,,,REDCap
