Course date,Year,Quarter,Member,Course code,Course ID,EventbriteID,Status,Registered,Attended,Delivery,Training days,Capacity,Course Type,Day2,Tool,Month,Day,Primary_Trainer,Assistant_Trainer,Unique_ID
13/8/2020,2020,3,UON,REDCAP101,20200813T0930_UON_REDCAP101,113587110104,Processed,16,14,Online,0.5,16,,,REDCap,8,Thu,SG,,44056_UON_REDCAP101
13/8/2020,2020,3,UON,NVIVO101,20200813T1330_UON_NVIVO101,115828547303,Processed,13,12,Online,0.5,13,,,NVivo,8,Thu,SG,,44056_UON_NVIVO101
13/8/2020,2020,3,Deakin,PYTHON203,20200813T0930_Deakin_PYTHON203,115142283670,Processed,25,20,Online,1,25,,,Python,8,Thu,AG,JL,44056_Deakin_PYTHON203
17/8/2020,2020,3,UON,PYTHON101,20200817T1330_UON_PYTHON101,113587126152,Processed,21,12,Online,1,21,,,Python,8,Mon,GC,SG,44060_UON_PYTHON101
17/8/2020,2020,3,LTU,EXCEL101,20200817T1330_LTU_EXCEL101,https://forms.gle/T9uf3o5fNxLX3nkr5,Processed,23,17,Online,1,23,,,Excel,8,Mon,CF,GM,44060_LTU_EXCEL101
7/8/2020,2020,3,LTU,REDCAP101,20200807T0930_LTU_REDCAP101,https://forms.gle/8ZvvDtc2pHkN2C5q9,Processed,39,27,Online,0.5,39,,,REDCap,8,Fri,GM,CF,44050_LTU_REDCAP101
18/8/2020,2020,3,UNSW,MATLAB101,20200818T0930_UNSW_MATLAB101,110568254626,Processed,14,12,Online,1,14,,,MATLAB,8,Tue,MR,"KT,PM",44061_UNSW_MATLAB101
19/8/2020,2020,3,LTU,R203,20200819T1330_LTU_R203,https://forms.gle/7HjLjzpq8vFXXcA2A,Processed,16,14,Online,1,16,,,R,8,Wed,CF,AP,44062_LTU_R203
20/8/2020,2020,3,USYD,R102,20200820T0930_USYD_R102,112633864922,Processed,29,26,Online,1,29,,,R,8,Thu,JZ,KT,44063_USYD_R102
20/8/2020,2020,3,SCU,R101,20200820T0930_SCU_R101,111570849414,Processed,23,16,Online,1,23,,,R,8,Thu,MR,WC,44063_SCU_R101
20/8/2020,2020,3,UON,REDCAP201,20200820T0930_UON_REDCAP201,114479748008,Processed,10,8,Online,0.5,10,,,REDCap,8,Thu,SG,,44063_UON_REDCAP201
20/8/2020,2020,3,Deakin,R203,20200820T0930_Deakin_R203,115144199400,Processed,27,22,Online,1,27,,,R,8,Thu,AG,JL,44063_Deakin_R203
20/8/2020,2020,3,WSU,RDMT001,20200820T0930_WSU_RDMT001,112167152974,Processed,20,15,Online,0.5,20,,,RDMT,8,Thu,XW,,44063_WSU_RDMT001
21/8/2020,2020,3,UON,NVIVO101,20200821T1100_UON_NVIVO101,114999197696,Processed,16,16,Online,0.5,16,,,NVivo,8,Fri,SG,,44064_UON_NVIVO101
21/8/2020,2020,3,WSU,PYTHON203,20200821T0930_WSU_PYTHON203,112168206124,Processed,21,17,Online,1,21,,,Python,8,Fri,KT,XW,44064_WSU_PYTHON203
24/08/2020,2020,3,UNSW,UNIX101,20200824T1330_UNSW_UNIX101,110568282710,Processed,13,11,Online,0.5,13,,,Unix,8,Mon,HP,CF,44067_UNSW_UNIX101
24/08/2020,2020,3,Deakin,REDCAP101,20200824T1000_Deakin_REDCAP101,115302538998,Processed,20,15,Online,0.5,20,,,REDCap,8,Mon,JL,AG,44067_Deakin_REDCAP101
24/08/2020,2020,3,Deakin,REDCAP201,20200824T1300_Deakin_REDCAP201,115302538998,Processed,20,15,Online,0.5,20,,,REDCap,8,Mon,JL,AG,44067_Deakin_REDCAP201
25/08/2020,2020,3,UTS,PYTHON203,20200825T0930_UTS_PYTHON203,113062057658,Processed,17,13,Online,1,17,,,Python,8,Tue,KT,WC,44068_UTS_PYTHON203
25/08/2020,2020,3,USYD,EXCEL101,20200825T0930_USYD_EXCEL101,112575939666,Processed,28,25,Online,1,28,,,Excel,8,Tue,CF,JZ,44068_USYD_EXCEL101
25/08/2020,2020,3,ACU,QLTRICS101,20200825T1000_ACU_QLTRICS101,116174482003,Processed,21,21,Online,0.5,21,,,Qualtrics,8,Tue,AW,,44068_ACU_QLTRICS101
25/08/2020,2020,3,UON,NVIVO101,20200825T0930_UON_NVIVO101,114498490066,Processed,16,12,Online,0.5,16,,,NVivo,8,Tue,SG,,44068_UON_NVIVO101
25/08/2020,2020,3,UOA,MATLAB101,20200825T0930_UOA_MATLAB101,106334695938,Processed,23,18,Online,1,23,,,MATLAB,8,Tue,MR,"AP, MK",44068_UOA_MATLAB101
26/08/2020,2020,3,ACU,REDCAP101,20200826T1000_ACU_REDCAP101,116174486015,Processed,23,19,Online,0.5,23,,,REDCap,8,Wed,AW,,44069_ACU_REDCAP101
26/08/2020,2020,3,WSU,EXCEL102,20200826T0930_WSU_EXCEL102,115811353877,Processed,19,19,Online,1,19,,,Excel,8,Wed,,,44069_WSU_EXCEL102
27/08/2020,2020,3,LTU,PYTHON101,20200827T1330_LTU_PYTHON101,https://forms.gle/4Cu5fr9dSPoizHSW6,Processed,20,7,Online,1,20,,,Python,8,Thu,CF,GLC,44070_LTU_PYTHON101
28/08/2020,2020,3,USYD,QLTRICS101,20200828T0930_USYD_QLTRICS101,112050594344,Processed,14,10,Online,0.5,14,,,Qualtrics,8,Fri,JZ,,44071_USYD_QLTRICS101
28/08/2020,2020,3,UNSW,GIT101,20200828T0930_UNSW_GIT101,110568290734,Processed,21,17,Online,0.5,21,,,Git,8,Fri,MR,KT,44071_UNSW_GIT101
28/08/2020,2020,3,UON,NVIVO101,20200828T0930_UON_NVIVO101,115000004108,Processed,16,13,Online,0.5,16,,,NVivo,8,Fri,SG,,44071_UON_NVIVO101
28/08/2020,2020,3,Deakin,SQL101,20200828T1000_Deakin_SQL101,115146875404,Processed,23,19,Online,0.5,23,,,SQL,8,Fri,AG,JL,44071_Deakin_SQL101
1/9/2020,2020,3,UTS,UNIX101,20200901T0930_UTS_UNIX101,113062069694,Processed,27,16,Online,0.5,27,,,Unix,9,Tue,HP,WC,44075_UTS_UNIX101
1/9/2020,2020,3,UNSW,PYTHON101,20200901T0930_UNSW_PYTHON101,110568318818,Processed,27,24,Online,1,27,,,Python,9,Tue,KT,PM,44075_UNSW_PYTHON101
1/9/2020,2020,3,ACU,REDCAP201,20200901T1000_ACU_REDCAP201,116174490027,Processed,16,14,Online,0.5,16,,,REDCap,9,Tue,AW,,44075_ACU_REDCAP201
3/9/2020,2020,3,USYD,EXCEL101,20200903T0930_USYD_EXCEL101,116853657435,Processed,28,23,Online,1,28,,,Excel,9,Thu,CF,JZ,44077_USYD_EXCEL101
4/9/2020,2020,3,WSU,R101,20200904T0930_WSU_R101,116191595189,Processed,17,13,Online,1,17,,,R,9,Fri,KT,XW,44078_WSU_R101
7/9/2020,2020,3,UON,HPC201,20200907T1330_UON_HPC201,113587144206,Processed,23,19,Online,1,23,,,HPC,9,Mon,GC,SG,44081_UON_HPC201
8/9/2020,2020,3,UTS,EXCEL101,20200908T1000_UTS_EXCEL101,113062141910,Processed,29,19,Online,1,29,,,Excel,9,Tue,MS,WC,44082_UTS_EXCEL101
8/9/2020,2020,3,USYD,SPSS101,20200908T0930_USYD_SPSS101,116853932257,Processed,25,23,Online,1,25,,,SPSS,9,Tue,JZ,AP,44082_USYD_SPSS101
8/9/2020,2020,3,UNSW,R101,20200908T0930_UNSW_R101,110568300764,Processed,26,24,Online,1,26,,,R,9,Tue,KT,HP,44082_UNSW_R101
8/9/2020,2020,3,ACU,EXCEL101,20200908T1000_ACU_EXCEL101,116174492033,Processed,20,19,Online,1,20,,,Excel,9,Tue,AW,SL,44082_ACU_EXCEL101
9/9/2020,2020,3,UNE,SPSS101,20200909T0930_UNE_SPSS101,118880293157,Processed,19,14,Online,1,19,,,SPSS,9,Wed,GLC,PR,44083_UNE_SPSS101
10/9/2020,2020,3,LTU,R101,20200910T1330_LTU_R101,https://forms.gle/JUrcWKCUNVvmgUCA6,Processed,27,18,Online,1,27,,,R,9,Thu,CF,MR,44084_LTU_R101
11/9/2020,2020,3,UON,NVIVO101,20200911T1100_UON_NVIVO101,118240443349,Processed,16,14,Online,0.5,16,,,NVivo,9,Fri,SG,JZ,44085_UON_NVIVO101
11/9/2020,2020,3,WSU,R203,20200911T0930_WSU_R203,116192383547,Processed,23,21,Online,1,23,,,R,9,Fri,KT,XW,44085_WSU_R203
15/9/2020,2020,3,UTS,REDCAP101,20200915T1000_UTS_REDCAP101,116174837065,Processed,15,10,Online,0.5,15,,,REDCap,9,Tue,WC,,44089_UTS_REDCAP101
15/9/2020,2020,3,UNSW,PYTHON203,20200915T0930_UNSW_PYTHON203,110568330854,Processed,24,16,Online,1,24,,,Python,9,Tue,MR,KT,44089_UNSW_PYTHON203
